source	target	Weight
son	lord	5.249374694486393E-8
israel	god	8.68402313423763E-8
lord	saying	8.689622331634223E-8
king	god	8.793299084019621E-8
lord	sons	1.147760902121705E-7
men	god	1.333414404929153E-7
lord	away	1.3722955485476997E-7
children	lord	1.3790778988700112E-7
israel	man	1.4199250989510303E-7
king	man	1.4377928154930803E-7
king	lord	1.481302115911693E-7
king	king	1.5463481519361283E-7
israel	son	1.623534759879209E-7
king	son	1.64396461136019E-7
lord	took	1.6742005692281936E-7
behold	god	1.6863770415280465E-7
lord	lord	1.7343237940899794E-7
saying	lord	1.7379244663268446E-7
good	lord	1.7439589262793684E-7
went	lord	1.7937863241730645E-7
house	man	1.8064758546437268E-7
lord	man	1.8364174433947277E-7
lord	behold	1.893892046638228E-7
lord	eat	1.9170235525513667E-7
lord	mine	1.9347464205256475E-7
hast	god	2.0898466888469063E-7
god	hast	2.0898466888469063E-7
heaven	lord	2.153774317188928E-7
lord	brethren	2.2263305441864277E-7
king	day	2.256089128154661E-7
land	king	2.2889192959101133E-7
house	people	2.3055116483670523E-7
years	lord	2.3295926287961877E-7
god	name	2.3341711451630371E-7
lord	hast	2.3470101437778414E-7
david	lord	2.3602451633856112E-7
son	land	2.4334121109947397E-7
away	god	2.4438644339521196E-7
god	away	2.4438644339521196E-7
god	children	2.455942841368687E-7
men	son	2.4929051918240686E-7
given	lord	2.5213863994400506E-7
days	god	2.5761934989241816E-7
king	hand	2.6823760916600097E-7
israel	saying	2.687539893170289E-7
gave	lord	2.700323498755151E-7
saying	king	2.7213587199817126E-7
king	saying	2.7213587199817126E-7
man	behold	2.757396025489369E-7
life	lord	2.7903342820469893E-7
